HomeDetailID,PolicyID,PropertyAddress,PropertyType,PropertyValue,SquareFootage,YearBuilt,ConstructionType,RoofType,SecuritySystem,FloodZone
114,2052,"400 Rodgers Motorway, South Stephaniestad",Single-Family,195843.48,2818,2017,Concrete,,1,0
115,2094,"098 Stein Bypass, Courtneyberg",Apartment,496490.59,1457,2020,Steel,,0,1
116,2110,"7249 Wilson Crest, Shawnaburgh",Condo,529564.23,2986,1974,Concrete,,1,1
117,2111,"249 Stephanie Forest, Jonathanview",Townhouse,492995.35,3643,2010,Brick,,0,1
118,2136,"64624 Wheeler Plains, East Edward",Condo,403901.95,2386,2021,Brick,,0,1
119,2167,"901 Ernest Islands, Heathertown",Apartment,202060.57,2805,2004,Wood,,0,0
120,2200,"27360 Thompson Manors, Fordberg",Multi-Family,565953.11,4220,1978,Concrete,,1,0
121,2221,"789 Christopher Inlet Apt. 652, Kramerview",Townhouse,592085.24,2690,2025,Steel,,1,1
122,2244,"30156 Michael Pines, Jessicafurt",Townhouse,629638.38,3364,2004,Concrete,,1,0
123,2249,"95036 Glenn Road, Justinbury",Single-Family,548964.21,4681,2011,Steel,,0,1
124,2267,"024 Hernandez Mountains, Dianahaven",Apartment,275340.51,3817,2006,Brick,,0,1
125,2284,"2026 Luis Avenue, Rebeccashire",Single-Family,697907.98,845,2016,Brick,,1,0
126,2303,"09801 Terri Club Apt. 590, North Jeremiah",Multi-Family,621401.25,3080,1981,Wood,,0,0
127,2344,"226 James Parkway Apt. 219, New Stephenfort",Single-Family,471238.37,1573,1987,Steel,,1,0
128,2359,"4288 Jessica Harbors Apt. 321, Port Jill",Condo,202363.44,2355,1965,Brick,,1,0
129,2372,"1168 Megan Extension Suite 376, Jaredfort",Single-Family,476701.65,3880,1952,Steel,,0,0
130,2382,"11467 Marshall Ridge, North Monica",Condo,346108.05,4122,1997,Brick,,1,0
131,2390,"519 Melissa Ways, Lake Michaelstad",Townhouse,439190.29,945,1966,Brick,,0,1
132,2391,"8838 Hoover Rapids, Timothyborough",Condo,271313.17,3466,1954,Steel,,1,0
133,2425,"844 Sims Harbors, Heidibury",Condo,527052.2,2397,2016,Brick,,1,0
134,2440,"1785 Sheena Ramp, Cobbmouth",Single-Family,540128.07,4154,1995,Brick,,0,0
135,2463,"97306 Moore Vista, New Nicholas",Apartment,533939.03,4234,1967,Steel,,0,1
136,2484,"593 Samantha Stravenue Suite 857, Schroedermouth",Multi-Family,627618.38,4279,2008,Steel,,1,0
137,2534,"7842 Riley Ferry, Lopezland",Condo,195319.76,981,2002,Concrete,,0,1
138,2571,"274 Rachel Parkway Suite 106, Kathyview",Townhouse,555038.59,3146,1980,Brick,,0,1
139,2574,"599 Strong Club Apt. 841, Davidmouth",Single-Family,462345.48,3402,1991,Wood,,0,0
140,2618,"48217 Brian Crossing, Lanefurt",Apartment,703320.82,1792,1967,Steel,,0,1
141,2622,"257 Henderson Court, New Michelle",Condo,359679.98,2229,1959,Concrete,,0,0
142,2623,"7417 Katherine Unions Apt. 076, Stephanieview",Single-Family,398134.59,2727,1952,Wood,,1,0
143,2637,"683 Hernandez Rapids Suite 829, South Todd",Multi-Family,656176.89,2038,2019,Wood,,1,1
144,2659,"026 Stephanie Park Suite 135, Benjaminside",Multi-Family,437021.5,1253,2007,Steel,,1,1
145,2673,"94227 Patricia Summit, Davismouth",Apartment,349325.3,4784,1995,Wood,,0,0
146,2687,"728 Bryan Curve Apt. 593, Brownborough",Multi-Family,727905.38,3810,1988,Concrete,,1,1
147,2721,"45000 Cole Lock Apt. 103, Williamschester",Multi-Family,580917.47,1600,1970,Brick,,0,0
148,2722,"536 Vega Dam Suite 730, Blackland",Single-Family,356991.54,4384,1984,Brick,,1,1
149,2725,"44982 Mccarty Freeway, North David",Townhouse,186505.98,1690,2020,Concrete,,0,1
150,2730,"82023 Calvin Parkway Apt. 907, Jacksonstad",Townhouse,164754.61,1396,2015,Brick,,1,0
151,2739,"6491 Brandon Prairie, West Brendaton",Townhouse,267779.98,2107,2024,Brick,,0,0
152,2759,"71366 Mia Land Apt. 743, Myersville",Single-Family,217758.46,1872,1991,Wood,,1,0
153,2832,"90279 Mariah Inlet Apt. 781, Lindsayborough",Multi-Family,379713.44,2775,1962,Steel,,0,1
154,2858,"96403 Tamara Mall Suite 642, Thompsonport",Condo,319178.8,2689,2001,Steel,,0,0
155,2873,"01888 Ashley Tunnel, Williamsbury",Apartment,410760.91,1347,2015,Steel,,0,1
156,2907,"62228 Rice Junctions Apt. 907, East Crystal",Multi-Family,606359.07,3144,2010,Steel,,1,1
157,2911,"82340 Pamela Points, North Benjamin",Multi-Family,738871.45,1924,1998,Concrete,,0,1
158,2927,"935 Anthony Stream, New Christinehaven",Apartment,795413.09,2437,1993,Wood,,1,0
159,2956,"73491 Jennifer Well, Malonefort",Multi-Family,714596.77,2518,2023,Steel,,1,1
160,2976,"1300 Branch Locks Suite 634, Murphymouth",Apartment,787774.23,2578,1992,Brick,,1,1
161,2980,"093 Anderson Road Apt. 558, Thomasland",Single-Family,798766.68,3938,2008,Steel,,1,0
162,3007,"768 Butler Via Apt. 126, Vangport",Multi-Family,672123.32,2736,2001,Steel,,0,1
163,3018,"245 Vernon Cove Suite 368, Rebeccahaven",Single-Family,756241.38,2905,1995,Wood,,1,1
164,3048,"7046 Young Throughway, New Teresahaven",Multi-Family,697769.34,3340,2017,Wood,,0,1
165,3072,"32139 Steven Meadow, Andersonmouth",Apartment,279749.25,1995,2014,Steel,,0,0
166,3076,"0501 David Rapid, New Margaret",Condo,273915.95,2163,2009,Concrete,,0,0
167,3118,"25173 Harris Drive Apt. 861, New Samantha",Single-Family,175118.18,4878,1985,Brick,,1,0
168,3120,"7401 Matthew Spur Suite 229, Williamville",Townhouse,356021.72,4535,1950,Brick,,1,1
169,3124,"303 Nguyen Extension, West Matthew",Single-Family,788319.51,1887,1997,Concrete,,1,0
170,3164,"870 Martin Gateway, Hallshire",Townhouse,602555.64,2177,2006,Steel,,0,0
171,3180,"68649 Ian Summit Apt. 552, Beckymouth",Single-Family,734567.94,2193,1962,Concrete,,0,0
172,3188,"292 Wilson Springs Suite 779, Hayleytown",Single-Family,754407.39,4348,1974,Wood,,0,1
173,3192,"340 Kevin Shoal Suite 799, Janicebury",Condo,459354.11,1125,1967,Brick,,1,1
174,3231,"1981 Kara Estates, Cassandraton",Townhouse,208364.5,1443,1961,Concrete,,1,1
175,3243,"2419 Lee Field Apt. 524, New Sharonland",Townhouse,404803.7,4129,1950,Steel,,1,1
176,3254,"69708 Gross Stravenue, Port Margaretview",Townhouse,692057.71,3191,2011,Brick,,0,1
177,3263,"488 Wilson Run, Frankmouth",Townhouse,269396.63,1891,2018,Wood,,1,0
178,3281,"182 Shaffer Landing, East Edwinhaven",Single-Family,770482.96,4762,1966,Concrete,,0,0
179,3283,"97796 Alexander Parkways, Stevenshaven",Apartment,299063.45,4599,1972,Steel,,1,0
180,3305,"173 King Stream Apt. 135, West Jason",Multi-Family,590506.54,1663,1954,Concrete,,0,1
181,3326,"757 William Village, New Pennystad",Townhouse,796044.58,4263,2010,Brick,,1,1
182,3337,"2577 Morgan Ports, Christensenborough",Apartment,374694.86,3897,1986,Wood,,1,1
183,3356,"37732 Allison Knolls Suite 490, Vanessaville",Condo,178824.27,4073,1980,Wood,,0,0
184,3363,"1032 Harvey Trail Suite 495, Baldwinstad",Apartment,457162.86,1872,2025,Brick,,0,0
185,3447,"71554 Walker Walk Suite 384, South Christopherchester",Townhouse,491485.08,3198,2012,Wood,,1,0
186,3450,"85462 Snyder Burgs, West Danielview",Townhouse,551665.7,2398,2012,Wood,,1,0
187,3460,"8426 Hodge Lake Apt. 841, North Jessicaview",Townhouse,326594.66,2230,1991,Concrete,,1,1
188,3500,"110 Wood Greens, South Denisechester",Townhouse,517445.87,3384,2010,Steel,,1,0
189,3506,"66888 Molina Mall Suite 825, Port Kaylamouth",Townhouse,657266.59,1030,1980,Wood,,1,0
190,3592,"13865 Sheena Street Apt. 546, Kellyhaven",Apartment,248283.95,3759,2009,Steel,,1,1
191,3611,"8602 Connie Loaf Suite 837, Margarettown",Apartment,239174.03,2099,1984,Wood,,0,1
192,3630,"48169 Alyssa Loaf Apt. 617, East John",Apartment,201258.2,4080,1993,Wood,,0,1
193,3649,"848 Browning Oval, Lake John",Condo,570686.17,4140,1978,Brick,,0,1
194,3675,"5136 Gonzalez Overpass, North Samanthashire",Townhouse,691242.16,1718,2017,Concrete,,1,1
195,3686,"9181 Tamara Valleys Suite 394, Emmafort",Apartment,564674.48,2811,1998,Concrete,,0,0
196,3693,"27069 Wolf Islands, Whiteside",Apartment,784075.81,1406,1988,Steel,,1,0
197,3696,"82360 William Groves, East Robert",Condo,444770.42,1885,1963,Steel,,0,1
198,3708,"420 Tiffany Landing Suite 365, Scottbury",Single-Family,694827.69,3980,2020,Wood,,1,0
199,3759,"875 Melissa River Apt. 205, Kathleenside",Condo,587067.38,1352,1957,Steel,,1,1
200,3761,"130 Paul Ferry Apt. 274, Dawnshire",Multi-Family,506551.27,4813,1965,Wood,,1,1
201,3788,"09473 Long Harbor, Jefferymouth",Condo,249207.66,2706,1959,Brick,,0,1
202,3803,"9993 Theresa Forks Suite 210, East Kristyville",Townhouse,323855.11,2690,1951,Steel,,0,0
203,3851,"4609 Tara Circles, East Caleb",Apartment,685836.15,4706,1967,Brick,,0,0
204,3919,"490 Nixon Ranch Apt. 111, Simpsonside",Condo,402248.8,1836,1985,Brick,,1,0
205,3924,"49392 Rivera Lakes, New Katelynhaven",Condo,609380.82,3812,1959,Brick,,0,0
206,3937,"57247 Jessica Fork, South Hectorshire",Multi-Family,383155.55,2164,1957,Concrete,,0,0
207,3939,"7387 Laura Ramp, Christopherport",Condo,645348.01,2833,2020,Wood,,1,1
208,3946,"287 Rhodes Locks Apt. 590, Chaneyville",Single-Family,652685.26,2973,1993,Concrete,,0,0
209,3952,"53497 Glenn Extension Suite 875, East Audreyland",Single-Family,351046.9,1375,2011,Brick,,1,0
210,3958,"3458 Freeman Canyon, North Jenniferstad",Townhouse,524887.33,3858,2025,Concrete,,1,0
211,3980,"35518 Turner Union, Maryville",Townhouse,423672.79,3994,1964,Wood,,1,1
212,3996,"3696 Costa Ports Suite 876, Danieltown",Condo,438215.15,3304,2019,Brick,,0,1
213,3998,"733 Wesley Manor, South Ariana",Apartment,243585.91,2654,1955,Concrete,,0,0
214,4014,"8603 Wendy Vista, West Julianfurt",Apartment,450570.02,4579,1962,Brick,,0,0
215,4024,"7926 Marks Fords Apt. 851, Hernandezside",Condo,664645.92,4613,2023,Concrete,,0,1
216,4029,"738 William Club, New Michelle",Apartment,426274.05,4426,2023,Steel,,1,0
217,4069,"2137 Gina Shore Suite 743, Adamsview",Condo,446213.28,3836,1970,Steel,,0,0
218,4072,"577 Davis Spur Apt. 534, North Albertville",Townhouse,502748.89,3966,1957,Concrete,,0,0
219,4101,"2440 Thompson Summit, North Sharonview",Multi-Family,706532.18,2348,1952,Wood,,1,0
220,4111,"46901 Norris Prairie, Jacksonfort",Condo,220396.48,1409,1976,Concrete,,1,1
221,4142,"6550 Norman Union Apt. 456, Caitlintown",Multi-Family,168582.77,2149,1988,Brick,,0,1
222,4151,"86849 Jenkins Trace, South Donnachester",Townhouse,448746.43,1779,1975,Wood,,0,0
223,4169,"6508 Mendoza Rapid, Richardland",Single-Family,602986.88,938,1977,Concrete,,1,0
224,4170,"219 Price Path Apt. 295, Lake Elizabeth",Multi-Family,632494.52,2769,2021,Wood,,0,1
225,4207,"514 Jesus Ferry Suite 012, Webbborough",Condo,697143.56,1397,1970,Brick,,1,1
226,4208,"0134 Ramos Drives, West David",Apartment,568052.63,2182,2023,Concrete,,0,0
227,4210,"94446 Kurt Overpass, East Joelborough",Apartment,644471.03,1549,1988,Steel,,0,1
228,4237,"1789 Tyler Island, Whitehaven",Condo,574882.45,4569,1986,Brick,,1,1
229,4253,"50999 Hall Junction, Greenberg",Condo,575061.72,2432,2001,Wood,,1,0
230,4263,"7145 Robert Plain Suite 068, Nicolestad",Townhouse,370758.51,1344,2020,Concrete,,0,0
231,4268,"48386 Caleb Fall Apt. 876, Montoyastad",Multi-Family,572061.46,4640,1955,Steel,,0,1
232,4294,"5130 Singh Lights, East Jeremy",Apartment,406811.6,3836,2018,Steel,,1,1
233,4297,"38530 Collins Ports, Lake Roberto",Condo,586577.89,1626,1971,Wood,,1,1
234,4325,"623 Johnson Prairie Suite 000, North Sabrinastad",Apartment,183224.17,1133,1958,Steel,,0,0
235,4357,"2814 Todd Glen Suite 153, New Peterville",Multi-Family,174569.16,949,1971,Wood,,0,0
236,4373,"8275 Johnson Ports, North Lauraside",Townhouse,416872.89,4165,1991,Wood,,1,1
237,4378,"8548 White Points Apt. 560, Kellychester",Townhouse,363135.37,4722,2017,Wood,,0,1
238,4387,"4438 Cody Locks Apt. 953, West Emilyberg",Multi-Family,161272.61,4108,1994,Wood,,1,1
239,4391,"9959 Hampton Land, Roweport",Multi-Family,310528.87,4948,1964,Steel,,1,0
240,4406,"56807 Luke Island Suite 098, Gardnermouth",Multi-Family,326228.64,3467,2018,Wood,,1,1
241,4417,"325 Rodriguez Islands, Ronaldfort",Apartment,515042.85,1664,1968,Concrete,,0,1
242,4434,"6793 Zachary Island Apt. 255, Robinsonshire",Apartment,798877.53,2169,1992,Steel,,0,0
243,4453,"27940 Farley Corners, Lambburgh",Townhouse,153708.26,1507,2019,Brick,,1,1
244,4485,"7790 Christine Shores Apt. 927, Lake Jacqueline",Apartment,746364.77,2868,1961,Brick,,1,1
245,4496,"09761 Duke Corner Suite 000, Port Dakota",Condo,725650.76,4884,1966,Concrete,,0,0
246,4508,"80042 Daniel Corners Suite 705, Floreschester",Apartment,237617.57,1805,1959,Wood,,0,0
247,4509,"85760 Welch Streets, Harrisonfort",Condo,454534.14,3976,1975,Brick,,0,1
248,4531,"0083 Wright Squares Suite 796, New Robertport",Apartment,458355.44,3050,1973,Brick,,1,0
249,4535,"71212 Christensen Street Suite 496, Mcculloughmouth",Townhouse,723878.16,4272,1993,Concrete,,0,1
250,4546,"612 Wilkinson Fort, Bryanville",Condo,544375.67,2018,1956,Concrete,,1,1
251,4559,"33070 Stacy Land, Port Ericberg",Townhouse,640040.81,2855,2003,Wood,,0,1
252,4563,"477 Rojas Brooks, New Jillstad",Townhouse,184050.51,3704,1965,Brick,,1,1
253,4632,"3038 Duke Parks Apt. 109, Lake Sonya",Multi-Family,634236.74,2772,1957,Wood,,0,1
254,4690,"478 Olson Pike Suite 303, Raymouth",Multi-Family,381883.57,3577,1985,Brick,,1,1
255,4691,"876 Kelly Drive, Mckenziefort",Condo,703905.58,2800,2003,Brick,,1,0
256,4695,"379 Robinson Plaza Suite 875, North James",Apartment,715204.73,2672,2006,Steel,,0,1
257,4711,"88564 Potter Locks, Victoriaville",Townhouse,412297.31,942,2025,Steel,,1,0
258,4714,"998 Leblanc Mission Apt. 215, New Patriciaview",Condo,539951.14,2865,1987,Steel,,1,1
259,4756,"7356 Molly Crossroad Apt. 590, Port Steven",Condo,283322.77,3309,1969,Steel,,0,0
260,4763,"81581 Dixon Throughway, North Bryce",Apartment,301315.37,3385,2010,Concrete,,1,1
261,4772,"358 Robert Wall Suite 151, Port Justin",Multi-Family,730988.66,1124,1964,Concrete,,1,0
262,4792,"8364 Alexander Station, Stevenbury",Townhouse,745575.93,4001,1958,Wood,,0,1
263,4805,"1312 Berry Ranch, Williamsview",Condo,467467.62,1740,1981,Steel,,0,1
264,4859,"025 Nathan Keys Apt. 181, Karenville",Townhouse,158803.57,2327,1989,Brick,,1,1
265,4860,"329 Bowen Crossroad Apt. 575, Martinmouth",Apartment,554149.83,2136,1988,Concrete,,1,0
266,4861,"311 Williams Alley Apt. 985, Theodoretown",Single-Family,344006.35,4087,1963,Steel,,1,1
267,4878,"54990 Matthew Locks Suite 316, Kellybury",Apartment,563717.72,2681,1975,Brick,,1,0
268,4896,"390 Weiss Islands, Lake Donnaberg",Townhouse,549536.25,1607,1975,Brick,,1,0
