SnapshotID,EmployeeID,SnapshotDateKey,DepartmentID,JobRoleID,LocationID,ManagerID,MonthlySalary,Bonus,OvertimeHours,SickDays,TrainingHours,PerformanceID,DistanceFromHome,JobSatisfaction,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion
39,1,20230301,5,2,3,,19790.53,1117.37,6.78,0,34,94,8,2,2,0,1
40,1,20230401,5,2,3,,9747.87,540.95,6.59,4,8,82,22,2,4,4,1
41,1,20230501,5,2,3,,22341.17,3279.18,5.81,2,6,74,42,1,4,3,2
42,1,20230601,5,2,3,,17302.06,2228.42,6.92,5,35,95,24,3,2,4,1
43,1,20230701,5,2,3,,21149.41,1438.99,18.92,4,38,69,16,3,4,5,3
44,1,20230801,5,2,3,,7261.46,668.92,8.83,0,3,37,50,4,3,0,3
45,1,20230901,5,2,3,,18770.58,1017.44,18.17,5,14,71,14,2,4,1,2
46,1,20231001,5,2,3,,18234.03,1608.57,3.99,2,10,59,30,3,1,5,1
47,1,20231101,5,2,3,,5141.01,741.14,3.12,1,38,12,38,2,4,0,0
48,1,20231201,5,2,3,,12134.42,954.36,2.35,0,19,1,41,3,3,1,3
49,1,20240101,5,2,3,,12942.82,656.41,8.48,1,9,50,7,4,2,1,0
50,1,20240201,5,2,3,,21055.83,2672.62,13.53,0,29,72,2,4,1,0,2
51,1,20240301,5,2,3,,18779.91,2087.87,6.94,3,24,11,33,1,3,4,3
52,1,20240401,5,2,3,,7861.71,845.79,10.83,1,23,89,32,3,3,3,3
53,1,20240501,5,2,3,,6367.3,441.92,5.16,3,35,41,27,2,2,1,1
54,1,20240601,5,2,3,,13417.26,1304.88,11.07,4,26,11,17,2,4,2,1
55,1,20240701,5,2,3,,6113.04,716.04,16.35,4,12,2,37,4,3,5,0
56,1,20240801,5,2,3,,20898.21,1517.09,19.22,1,6,85,22,1,1,1,3
57,1,20240901,5,2,3,,13299.85,1938.05,10.36,1,37,50,3,2,4,4,0
58,1,20241001,5,2,3,,6747.27,360.2,6.11,4,24,80,2,3,1,0,2
59,1,20241101,5,2,3,,21718.31,1774.11,13.15,1,39,85,10,2,4,4,2
60,1,20241201,5,2,3,,10229.17,566.03,12.11,5,39,20,2,4,4,2,2
61,1,20250101,5,2,3,,23849.03,2790.83,3.22,3,35,48,8,1,2,3,3
62,1,20250201,5,2,3,,15107.38,1499.9,0.19,4,1,28,34,2,4,3,3
63,1,20250301,5,2,3,,14400.38,2095.7,4.73,5,12,51,34,3,3,0,1
64,1,20250401,5,2,3,,9071.27,874.68,15.27,3,27,48,23,3,1,1,2
65,1,20250501,5,2,3,,9478.5,505.46,5.62,4,7,89,1,4,4,4,0
66,1,20250601,5,2,3,,23074.71,3201.53,1.84,3,12,22,28,2,4,4,0
67,1,20250701,5,2,3,,16139.95,2210.59,12.49,1,26,31,30,3,2,1,0
68,1,20250801,5,2,3,,22445.13,3312.58,4.53,1,25,46,17,1,4,4,0
69,1,20250901,5,2,3,,22415.4,3183.08,3.69,4,9,16,41,1,4,3,2
70,1,20251001,5,2,3,,7035.7,689.32,11.8,5,10,32,23,1,3,2,2
71,1,20251101,5,2,3,,19208.63,2734.53,12.71,0,19,48,11,2,3,3,1
72,1,20251201,5,2,3,,6079.29,909.0,10.58,0,17,69,42,3,2,3,3
73,2,20240701,4,2,1,,7394.2,1010.37,9.25,5,32,94,25,4,1,2,1
74,2,20240801,4,2,1,,14581.11,1355.0,7.69,5,37,34,20,2,3,1,0
75,2,20240901,4,2,1,,20739.44,1469.32,6.24,4,2,32,46,3,2,5,3
76,2,20241001,4,2,1,,5888.32,769.75,12.16,4,29,18,36,2,2,1,1
77,2,20241101,4,2,1,,6422.31,905.9,18.73,0,36,33,17,1,2,3,0
78,2,20241201,4,2,1,,22461.47,2747.04,13.85,2,16,13,32,4,2,5,2
79,2,20250101,4,2,1,,6027.61,593.84,19.57,5,11,70,36,1,3,2,1
80,2,20250201,4,2,1,,24456.11,2376.94,11.96,4,5,91,25,2,3,2,1
81,2,20250301,4,2,1,,24960.77,3586.22,9.23,1,19,17,12,1,1,0,2
82,2,20250401,4,2,1,,23413.11,2243.96,15.55,3,2,79,28,1,1,4,1
83,2,20250501,4,2,1,,17951.8,2577.58,13.48,1,0,8,40,2,3,3,3
84,2,20250601,4,2,1,,23611.05,3261.44,16.41,1,10,53,19,1,2,2,0
85,2,20250701,4,2,1,,10622.08,806.7,18.76,0,33,7,9,4,2,1,3
86,2,20250801,4,2,1,,17533.81,1430.68,10.06,1,24,79,4,2,1,2,3
87,2,20250901,4,2,1,,17381.46,917.17,15.86,2,25,75,8,2,2,4,3
88,2,20251001,4,2,1,,16497.3,1034.87,19.18,4,6,100,50,4,2,5,3
89,2,20251101,4,2,1,,24755.37,2260.48,13.76,4,28,59,41,3,4,1,3
90,2,20251201,4,2,1,,23924.77,2642.92,5.85,4,23,94,38,2,3,0,3
91,3,20200901,5,4,1,,23696.9,2820.25,5.02,0,5,53,41,1,3,0,0
92,3,20201001,5,4,1,,12539.46,784.41,14.61,1,31,27,48,2,1,1,3
93,3,20201101,5,4,1,,7296.29,481.56,3.09,5,35,80,49,4,4,0,1
94,3,20201201,5,4,1,,20423.42,1445.48,7.76,1,20,77,28,3,1,5,1
95,3,20210101,5,4,1,,23756.72,2453.99,9.02,2,14,74,33,2,3,0,0
96,3,20210201,5,4,1,,17372.76,1833.33,16.62,1,34,45,48,3,1,2,1
97,3,20210301,5,4,1,,6609.58,544.72,15.5,4,22,63,2,2,2,2,2
98,3,20210401,5,4,1,,12481.32,862.06,17.02,5,20,27,21,1,2,5,1
99,3,20210501,5,4,1,,7764.77,442.81,19.3,1,13,14,1,2,3,2,1
100,3,20210601,5,4,1,,19022.73,2234.16,4.42,1,33,28,38,4,2,4,1
101,3,20210701,5,4,1,,7626.04,977.58,17.58,0,35,96,35,4,4,2,1
102,3,20210801,5,4,1,,21973.42,1780.53,12.06,5,16,4,35,3,2,2,3
103,4,20241101,2,3,4,,19777.82,1310.99,14.25,4,14,31,25,4,2,3,2
104,4,20241201,2,3,4,,17521.87,2384.39,18.72,1,29,77,5,2,2,3,0
105,4,20250101,2,3,4,,7405.73,570.88,15.32,0,35,63,13,4,1,5,0
106,4,20250201,2,3,4,,13372.28,1259.58,15.09,1,33,78,49,3,3,3,3
107,4,20250301,2,3,4,,21886.71,2303.06,13.69,2,30,74,2,4,3,3,0
108,5,20251101,1,4,4,,20693.32,1654.17,1.92,1,39,73,19,2,2,0,0
109,5,20251201,1,4,4,,12831.72,1496.28,19.35,1,8,13,4,4,2,0,0
110,6,20240601,2,1,4,,22239.24,3070.72,17.13,3,27,66,29,3,2,2,3
111,6,20240701,2,1,4,,16264.59,2372.46,2.82,5,37,97,50,2,1,1,3
112,6,20240801,2,1,4,,8141.79,1037.33,15.76,3,17,6,47,3,1,4,2
113,6,20240901,2,1,4,,16626.33,1549.91,8.16,2,32,7,6,1,3,1,2
114,6,20241001,2,1,4,,13978.85,1044.52,19.61,3,25,65,31,4,1,0,0
115,6,20241101,2,1,4,,5603.27,804.45,5.66,3,22,24,19,2,4,2,0
116,6,20241201,2,1,4,,21678.87,1222.16,6.32,0,36,34,8,2,3,3,2
117,6,20250101,2,1,4,,8065.34,817.11,17.79,2,4,43,32,1,2,4,1
118,6,20250201,2,1,4,,14857.01,1284.28,13.22,1,40,28,42,3,2,2,3
119,6,20250301,2,1,4,,7927.47,633.95,1.47,0,8,65,9,1,1,2,0
120,6,20250401,2,1,4,,5575.36,497.8,9.51,0,23,57,19,1,3,0,3
121,6,20250501,2,1,4,,13243.41,1302.52,1.06,3,17,96,46,2,3,2,0
122,6,20250601,2,1,4,,11483.23,759.74,14.01,2,32,13,3,4,2,3,1
123,6,20250701,2,1,4,,5299.34,685.5,15.24,3,15,7,31,1,3,4,0
124,6,20250801,2,1,4,,10789.38,738.3,12.94,2,34,42,13,4,1,4,3
125,6,20250901,2,1,4,,7738.79,838.69,11.47,4,8,73,35,3,1,5,3
126,6,20251001,2,1,4,,20455.99,2490.09,17.33,4,24,53,28,3,3,2,1
127,6,20251101,2,1,4,,17266.29,2049.15,12.64,0,31,46,34,3,2,3,1
128,6,20251201,2,1,4,,14156.13,1460.56,18.78,4,25,92,21,3,2,1,3
129,7,20221201,5,5,3,,20874.11,1495.87,11.6,5,32,85,18,3,1,3,2
130,7,20230101,5,5,3,,20053.13,2821.73,6.92,2,29,15,30,4,2,3,1
131,7,20230201,5,5,3,,15441.11,2133.81,4.79,0,33,41,25,3,3,2,2
132,7,20230301,5,5,3,,21705.98,1241.37,18.86,4,19,81,23,3,3,4,3
133,7,20230401,5,5,3,,11836.06,898.53,18.34,5,38,25,18,3,3,0,1
134,7,20230501,5,5,3,,9034.65,946.83,14.38,0,18,13,29,1,3,0,2
135,7,20230601,5,5,3,,5438.53,796.99,16.22,2,40,39,22,2,1,5,0
136,7,20230701,5,5,3,,6832.8,661.35,9.03,1,29,35,19,4,4,3,1
137,7,20230801,5,5,3,,12225.61,1685.46,8.84,0,3,24,36,2,1,3,3
138,7,20230901,5,5,3,,10035.68,660.48,10.07,2,30,37,12,1,2,1,1
139,7,20231001,5,5,3,,20378.77,2691.87,17.4,5,9,43,19,1,4,1,0
140,7,20231101,5,5,3,,8954.31,977.45,4.89,4,21,1,21,1,2,4,1
141,7,20231201,5,5,3,,8366.78,980.67,8.67,4,6,87,27,2,3,2,2
142,7,20240101,5,5,3,,16096.3,1675.95,0.95,2,15,98,19,3,1,1,3
143,7,20240201,5,5,3,,17827.06,2427.71,2.55,4,16,14,8,2,2,4,2
144,7,20240301,5,5,3,,6346.38,772.77,12.75,3,2,76,8,4,4,5,3
145,7,20240401,5,5,3,,8287.1,1006.56,11.94,2,24,46,30,4,3,4,1
146,7,20240501,5,5,3,,20232.75,2239.04,19.46,4,32,89,40,3,3,0,1
147,7,20240601,5,5,3,,9739.18,711.71,7.34,1,27,45,47,1,4,2,0
148,7,20240701,5,5,3,,18140.44,2335.22,9.87,5,13,15,47,4,3,1,3
149,7,20240801,5,5,3,,12519.04,1076.73,5.92,1,7,68,9,4,4,4,2
150,7,20240901,5,5,3,,11480.8,1109.91,18.25,5,5,81,18,2,2,4,2
151,7,20241001,5,5,3,,15001.32,2057.52,10.17,3,19,90,23,3,3,5,0
152,7,20241101,5,5,3,,6004.03,357.33,16.15,3,35,14,12,4,3,5,3
153,7,20241201,5,5,3,,7666.93,703.29,19.44,1,22,22,38,1,4,3,3
154,7,20250101,5,5,3,,22001.29,1332.51,0.49,1,18,90,28,1,4,4,2
155,7,20250201,5,5,3,,16155.06,1881.54,18.67,4,40,86,28,1,3,3,0
156,7,20250301,5,5,3,,17848.17,1122.34,15.03,3,19,61,5,1,2,4,1
157,7,20250401,5,5,3,,5723.23,681.41,19.38,2,40,42,38,4,2,5,0
158,7,20250501,5,5,3,,20899.69,1579.92,17.02,5,10,37,4,2,3,4,1
159,7,20250601,5,5,3,,5643.81,366.12,1.7,2,2,30,28,2,1,5,2
160,7,20250701,5,5,3,,22022.24,1283.98,3.75,2,17,57,34,3,2,1,1
161,7,20250801,5,5,3,,8784.03,850.84,4.21,2,26,97,45,4,1,1,0
162,7,20250901,5,5,3,,15695.65,1688.02,11.73,0,25,67,30,1,3,3,1
163,7,20251001,5,5,3,,7735.35,1123.39,3.72,3,30,5,22,1,4,3,1
164,7,20251101,5,5,3,,14659.85,1644.6,17.79,2,27,9,17,1,2,0,1
165,7,20251201,5,5,3,,10382.02,772.31,12.8,0,14,21,15,2,3,5,3
166,8,20240801,3,4,1,,14685.69,996.15,17.3,4,32,74,13,2,1,2,3
167,8,20240901,3,4,1,,8911.52,523.84,0.19,5,3,26,16,4,1,5,3
168,8,20241001,3,4,1,,11456.66,1616.12,2.69,0,5,5,45,2,2,4,1
169,8,20241101,3,4,1,,20003.83,2871.49,0.41,3,37,38,18,4,3,4,0
170,8,20241201,3,4,1,,21638.38,2064.72,2.22,2,14,70,27,4,2,4,2
171,8,20250101,3,4,1,,24914.01,2757.28,2.66,5,36,56,10,4,3,1,3
172,8,20250201,3,4,1,,10289.46,1531.16,19.17,2,36,85,41,2,4,3,2
173,8,20250301,3,4,1,,7303.25,663.85,9.1,2,21,65,35,2,3,1,0
174,8,20250401,3,4,1,,15284.76,1835.05,10.07,2,32,47,18,4,4,4,0
175,8,20250501,3,4,1,,24943.79,2541.76,16.2,3,2,77,7,1,2,4,2
176,8,20250601,3,4,1,,16497.47,2093.66,5.35,5,17,71,16,4,2,3,1
177,8,20250701,3,4,1,,21205.19,2098.87,0.27,0,33,42,13,4,2,2,1
178,8,20250801,3,4,1,,5303.5,681.16,18.74,5,9,93,28,1,3,0,3
179,8,20250901,3,4,1,,21930.21,2270.27,6.89,2,15,70,50,4,3,0,1
180,8,20251001,3,4,1,,18907.92,2012.19,3.63,4,7,35,39,4,1,5,2
181,8,20251101,3,4,1,,19564.33,2336.53,4.01,5,12,54,26,1,3,1,0
182,8,20251201,3,4,1,,21553.29,3110.2,10.29,2,37,56,10,1,1,1,0
183,9,20220801,3,1,3,,9700.74,815.5,10.29,0,9,78,5,3,1,0,1
184,9,20220901,3,1,3,,18612.87,1412.3,0.04,3,24,47,9,2,2,3,3
185,9,20221001,3,1,3,,22962.95,1760.72,5.68,4,15,10,45,4,1,3,1
186,9,20221101,3,1,3,,17612.59,1620.4,8.84,3,3,80,11,1,4,1,1
187,9,20221201,3,1,3,,10744.45,1414.88,0.37,5,38,95,36,4,3,2,3
188,9,20230101,3,1,3,,10718.39,629.41,9.32,3,17,36,3,4,1,5,2
189,9,20230201,3,1,3,,15806.55,1931.05,12.58,5,12,19,12,2,1,2,0
190,9,20230301,3,1,3,,5977.31,418.21,4.63,1,9,44,30,1,4,0,2
191,9,20230401,3,1,3,,20701.68,1483.08,6.62,1,30,8,39,4,3,1,1
192,9,20230501,3,1,3,,24252.78,1438.01,10.52,2,22,85,35,3,3,4,3
193,9,20230601,3,1,3,,7513.01,565.73,13.65,3,18,77,12,3,4,4,1
194,9,20230701,3,1,3,,21446.27,2996.0,0.91,4,1,18,37,4,1,0,3
195,9,20230801,3,1,3,,16184.7,2146.44,13.79,2,36,66,6,3,1,4,1
196,9,20230901,3,1,3,,9539.8,511.55,15.11,2,6,39,26,3,2,3,0
197,9,20231001,3,1,3,,17895.65,2148.92,13.58,0,18,94,42,3,4,2,2
198,9,20231101,3,1,3,,5080.05,306.99,0.55,0,31,18,2,3,2,4,3
199,9,20231201,3,1,3,,6827.19,829.8,3.82,2,31,47,11,3,1,0,3
200,9,20240101,3,1,3,,7477.25,478.23,17.83,3,32,94,50,1,3,2,0
201,9,20240201,3,1,3,,23438.44,1540.03,14.61,5,28,84,32,3,1,5,3
202,9,20240301,3,1,3,,14895.8,1969.52,10.84,4,1,38,29,1,3,4,2
203,9,20240401,3,1,3,,9206.05,1214.05,8.85,4,23,92,12,3,4,0,1
204,9,20240501,3,1,3,,13232.47,1559.29,7.75,4,40,32,23,3,4,3,0
205,9,20240601,3,1,3,,20415.17,1231.58,17.36,2,1,74,7,3,1,5,1
206,9,20240701,3,1,3,,18023.38,1954.48,2.43,3,34,25,13,2,4,1,2
207,9,20240801,3,1,3,,10789.81,661.47,15.59,2,30,53,29,4,4,2,2
208,9,20240901,3,1,3,,16160.12,918.71,11.77,2,3,67,16,1,2,3,2
209,9,20241001,3,1,3,,19572.34,1425.97,6.2,1,0,36,3,4,2,1,3
210,9,20241101,3,1,3,,5138.38,325.02,15.3,3,34,82,24,2,4,2,2
211,9,20241201,3,1,3,,17066.0,1407.48,7.53,0,36,1,24,2,3,0,1
212,9,20250101,3,1,3,,11279.2,1593.93,15.14,0,32,79,24,3,4,5,2
213,9,20250201,3,1,3,,13369.53,1553.05,8.38,5,32,91,34,1,3,4,1
214,9,20250301,3,1,3,,13164.67,1908.35,4.26,4,10,7,14,3,3,3,2
215,9,20250401,3,1,3,,20331.38,2208.81,9.4,5,21,56,41,3,3,4,0
216,9,20250501,3,1,3,,20127.86,2136.12,11.76,4,28,40,47,3,1,1,0
217,9,20250601,3,1,3,,13520.2,2007.24,17.18,5,12,26,39,4,2,3,1
218,9,20250701,3,1,3,,20982.14,1128.37,6.01,0,31,17,2,4,1,1,3
219,9,20250801,3,1,3,,22037.53,2746.66,16.87,5,14,97,39,4,4,0,3
220,9,20250901,3,1,3,,21752.93,1660.91,9.08,0,21,45,5,1,1,1,1
221,9,20251001,3,1,3,,16989.7,1544.98,7.27,2,22,22,49,3,3,2,1
222,9,20251101,3,1,3,,7334.43,952.8,6.05,3,0,17,23,2,4,5,2
223,9,20251201,3,1,3,,7333.64,829.69,13.98,5,22,36,33,1,3,4,2
224,10,20200101,5,4,1,,12962.87,1748.56,3.34,2,12,54,30,4,1,5,2
225,10,20200201,5,4,1,,17612.86,1049.03,3.08,0,38,93,40,3,4,2,1
226,10,20200301,5,4,1,,21442.51,1847.02,16.72,0,27,35,26,1,2,4,0
227,10,20200401,5,4,1,,13633.19,1657.23,18.39,1,9,17,20,4,4,2,0
228,10,20200501,5,4,1,,10289.79,701.03,5.85,0,20,78,40,2,4,5,3
229,10,20200601,5,4,1,,12625.3,859.13,10.7,4,23,65,15,3,2,4,0
230,10,20200701,5,4,1,,10090.01,785.32,16.68,2,23,44,27,4,3,2,0
231,10,20200801,5,4,1,,15827.17,1095.8,2.56,2,33,56,7,4,1,5,2
232,10,20200901,5,4,1,,7686.71,1091.9,11.17,3,7,63,19,4,1,5,2
233,10,20201001,5,4,1,,13286.67,1829.05,13.93,0,38,22,3,4,3,4,2
234,10,20201101,5,4,1,,20097.81,2415.48,3.26,5,6,85,26,2,3,3,2
235,10,20201201,5,4,1,,18241.78,975.21,19.25,4,9,65,28,2,4,3,3
236,10,20210101,5,4,1,,22713.59,2390.86,14.7,5,21,82,7,2,4,5,2
237,10,20210201,5,4,1,,23137.35,2440.22,2.66,3,37,67,4,2,2,2,1
238,10,20210301,5,4,1,,6328.55,921.68,17.35,0,38,94,15,2,3,1,3
239,10,20210401,5,4,1,,11650.59,1714.36,13.8,4,4,68,25,1,3,1,2
240,10,20210501,5,4,1,,15053.7,2174.51,8.18,0,40,17,29,1,3,2,0
241,10,20210601,5,4,1,,10509.38,587.19,3.37,2,27,91,17,1,2,5,3
242,10,20210701,5,4,1,,13784.32,694.23,1.76,1,7,68,9,2,2,1,2
243,10,20210801,5,4,1,,21586.9,1499.64,17.73,2,3,87,12,1,2,5,3
244,10,20210901,5,4,1,,17136.39,1767.45,13.08,5,21,40,28,3,4,5,2
245,10,20211001,5,4,1,,11313.18,1582.92,0.77,3,33,21,13,4,3,2,0
246,10,20211101,5,4,1,,23362.39,3297.37,10.68,0,10,100,37,1,4,1,0
247,10,20211201,5,4,1,,22821.43,3094.02,10.75,5,27,21,43,3,3,0,0
248,10,20220101,5,4,1,,19228.05,2741.05,2.16,2,3,44,17,4,3,0,0
249,10,20220201,5,4,1,,9381.32,974.42,15.63,2,37,76,14,1,1,4,3
250,10,20220301,5,4,1,,7515.91,1119.61,1.42,5,16,46,45,3,2,2,0
251,10,20220401,5,4,1,,21881.52,2218.41,4.01,2,40,92,42,2,3,5,2
252,10,20220501,5,4,1,,18242.43,2060.24,14.63,5,28,39,12,2,2,4,2
253,10,20220601,5,4,1,,14122.02,1808.31,8.53,5,36,41,6,3,2,4,2
254,10,20220701,5,4,1,,22080.25,2119.72,2.61,2,2,51,3,3,1,2,0
255,10,20220801,5,4,1,,8343.09,832.16,10.38,3,8,32,34,1,4,3,1
256,10,20220901,5,4,1,,17463.57,2208.26,4.7,0,9,12,24,2,2,0,1
257,10,20221001,5,4,1,,13022.98,1662.68,2.08,4,36,64,36,1,3,2,2
258,10,20221101,5,4,1,,11343.45,1060.04,15.41,5,28,84,9,4,3,1,1
259,10,20221201,5,4,1,,24819.19,2445.5,2.49,5,14,37,27,3,1,1,1
260,10,20230101,5,4,1,,18651.16,1611.23,8.23,1,37,77,3,3,3,3,1
261,10,20230201,5,4,1,,22449.71,2770.25,19.4,0,30,48,35,4,1,3,0
262,10,20230301,5,4,1,,6830.08,827.73,9.27,4,7,25,13,2,2,5,0
263,10,20230401,5,4,1,,23798.98,2932.26,17.91,2,3,33,28,1,3,1,3
264,10,20230501,5,4,1,,12558.29,1181.79,13.07,3,3,11,12,3,2,0,3
265,11,20220101,5,2,1,,19893.77,1707.02,11.05,3,7,57,18,3,4,5,1
266,11,20220201,5,2,1,,13668.84,1502.61,3.58,3,25,93,17,1,2,5,3
267,11,20220301,5,2,1,,21241.09,1081.91,7.35,5,1,3,3,1,1,3,3
268,11,20220401,5,2,1,,20900.81,1345.36,7.14,5,32,92,44,2,3,2,0
269,11,20220501,5,2,1,,8453.52,796.1,9.15,0,25,40,24,1,2,4,3
270,11,20220601,5,2,1,,9326.8,1230.9,19.76,2,30,25,19,3,1,1,1
271,11,20220701,5,2,1,,24606.51,2199.72,9.66,1,27,54,21,2,1,3,3
272,11,20220801,5,2,1,,17852.76,1195.75,13.52,4,1,99,29,4,1,0,1
273,11,20220901,5,2,1,,19765.16,1673.07,17.75,5,30,48,33,2,1,0,3
274,11,20221001,5,2,1,,17681.65,1014.29,9.2,1,23,13,9,4,4,2,3
275,11,20221101,5,2,1,,20872.09,2365.38,17.11,4,40,64,36,2,1,1,1
276,11,20221201,5,2,1,,5985.87,553.99,8.47,2,10,34,24,1,4,5,1
277,11,20230101,5,2,1,,24320.44,2053.7,18.79,2,29,70,50,1,2,3,3
278,11,20230201,5,2,1,,19329.86,1044.51,0.38,0,29,27,23,2,3,4,0
279,11,20230301,5,2,1,,8503.36,1149.83,9.92,3,29,75,29,4,1,2,3
280,11,20230401,5,2,1,,6960.29,505.32,11.76,3,9,40,21,3,2,3,3
281,11,20230501,5,2,1,,24575.74,1331.3,19.87,2,32,95,35,1,3,2,1
282,11,20230601,5,2,1,,8397.69,468.85,14.38,2,16,67,50,3,1,0,0
283,11,20230701,5,2,1,,21245.69,1105.54,6.85,0,12,8,39,1,3,0,1
284,11,20230801,5,2,1,,14264.06,1671.3,16.02,2,38,19,26,3,2,3,3
285,11,20230901,5,2,1,,5184.89,649.77,6.26,4,12,46,9,4,1,1,2
286,11,20231001,5,2,1,,19880.95,1607.24,2.56,2,13,22,10,4,2,3,1
287,11,20231101,5,2,1,,24261.55,3408.47,12.35,2,36,34,44,4,2,1,0
288,11,20231201,5,2,1,,9362.48,1228.96,5.57,3,26,58,27,4,4,1,3
289,11,20240101,5,2,1,,7078.77,586.41,0.9,3,26,51,3,1,4,1,3
290,11,20240201,5,2,1,,14651.15,1733.79,9.79,2,31,39,35,4,2,0,1
291,11,20240301,5,2,1,,23776.21,2766.31,14.4,0,32,92,39,1,2,1,1
292,12,20200101,5,2,2,,21822.04,2323.93,18.48,5,24,23,22,2,4,1,2
293,12,20200201,5,2,2,,19457.37,2855.29,6.21,3,9,38,7,1,4,2,3
294,12,20200301,5,2,2,,22832.48,3396.39,16.75,3,18,41,14,1,2,2,3
295,12,20200401,5,2,2,,15170.87,2116.83,15.44,1,21,33,41,2,3,5,1
296,12,20200501,5,2,2,,9033.2,1112.06,18.47,1,8,54,14,1,3,2,0
297,12,20200601,5,2,2,,9974.45,927.36,3.16,1,36,48,39,4,4,2,1
298,12,20200701,5,2,2,,23629.85,3036.88,6.14,5,4,23,10,1,2,4,1
299,12,20200801,5,2,2,,23967.4,3039.36,6.79,4,17,52,20,1,4,5,3
300,12,20200901,5,2,2,,22517.93,3203.2,3.86,5,37,81,18,4,3,3,2
301,12,20201001,5,2,2,,22858.45,1725.28,9.24,2,27,78,12,1,2,1,3
302,12,20201101,5,2,2,,14390.1,1064.34,1.49,4,4,23,44,1,4,2,3
303,12,20201201,5,2,2,,8334.52,689.08,16.12,0,33,54,47,4,4,3,1
304,12,20210101,5,2,2,,18632.66,2703.59,18.85,3,16,39,4,2,4,5,0
305,12,20210201,5,2,2,,23513.13,2437.37,0.28,0,37,90,39,4,4,2,0
306,12,20210301,5,2,2,,12996.2,1080.91,10.96,2,5,95,44,4,2,3,3
307,12,20210401,5,2,2,,17235.04,1904.64,1.29,4,36,88,14,4,3,5,2
